# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.023479714941 t_sap_s=0.023479714941
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=0.998202067567 agree=10 voting=225 distinct=72 largest_block=9
# modal_lead_hz=0.998202067567
# df_hz=0.166367011261 quant_px=0 coherence_gate=0.493299654026 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.998202067567 agree=9 input=225 survivors=81 snr_cull=0 sigma_cull=0 neigh_cull=144 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.0373082386063 median=0.559643069981 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=81
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
0,0,0,0.499101033784,5.45799213409,0.693318112898,0,0,0,0.535714926497,1,0,0,0.448212067453
1,0,1,18.9658392838,5.90413670186,0.711312469018,0,0,0,0.630099159242,1,0,1,0.45979672455
2,0,2,18.9658392838,5.90413670186,0.679165917803,0,0,0,0.630099159242,1,0,1,0.45979672455
3,0,3,15.9712330811,4.72466413073,0.552903870684,0,0,0,0.535442363753,1,0,0,0.406464071001
4,0,4,14.4739299797,4.50066678926,0.626031485676,0,0,0,0.574004371378,1,0,0,0.429854760173
5,0,5,11.6456907883,5.05001556105,0.7218556182,0,0,0,0.571520618923,1,0,0,0.418890342034
6,0,6,11.6456907883,5.05001556105,0.706167172132,0,0,0,0.571520618923,1,0,0,0.418890342034
7,0,7,10.813855732,4.12264673396,0.707655126522,0,0,0,0.551022599029,1,0,1,0.441294331851
8,0,8,10.813855732,4.12264673396,0.742163821295,0,0,0,0.551022599029,1,0,1,0.441294331851
9,0,9,19.6313073288,6.80672788739,0.721757034983,0,0,0,0.555844920067,1,0,0,0.446646355182
10,0,10,19.6313073288,6.80672788739,0.664286999712,0,0,0,0.555844920067,1,0,0,0.446646355182
11,0,11,4.32554229279,4.6428775899,0.931342196328,0,0,0,1.51208123407,1,0,0,0.412602172197
12,0,12,5.49011137162,6.24497873165,0.935938522821,0,0,0,1.8295504233,1,0,0,0.422827873866
13,0,13,5.49011137162,6.24497873165,0.94136092948,0,0,0,1.8295504233,1,0,0,0.422827873866
14,0,14,0.499101033784,4.53115415946,0.654109290963,0,0,0,0.521705689122,1,0,0,0.431744148642
15,1,0,2.32913815766,5.10683707403,0.676011111022,0,0,0,0.537739535619,1,0,0,0.422871305747
16,1,1,18.9658392838,5.90413670186,0.702780744294,0,0,0,0.630099159242,1,0,1,0.45979672455
17,1,2,18.9658392838,5.90413670186,0.693486082458,0,0,0,0.630099159242,1,0,1,0.45979672455
18,1,3,0.998202067567,6.52959157491,0.601686687132,0,0,0,0.571136583994,1,1,0,0.449265831599
19,1,4,20.1304083626,3.67491770488,0.656380717296,0,0,0,0.525526177729,1,0,0,0.439055249809
20,1,5,13.8084619347,5.65549506125,0.71638248254,0,0,0,0.542733567056,1,0,0,0.443269182888
21,1,6,13.8084619347,5.65549506125,0.710887941011,0,0,0,0.542733567056,1,0,0,0.443269182888
22,1,7,10.813855732,4.12264673396,0.72878534366,0,0,0,0.551022599029,1,0,1,0.441294331851
23,1,8,10.813855732,4.12264673396,0.750886551081,0,0,0,0.551022599029,1,0,1,0.441294331851
24,1,9,10.813855732,4.91324064242,0.754500616197,0,0,0,0.566078574661,1,0,1,0.424419093872
25,1,10,10.813855732,4.91324064242,0.704828917316,0,0,0,0.566078574661,1,0,0,0.424419093872
26,1,11,1.16456907883,6.76281130847,0.925647293232,0,0,0,1.7274768501,1,0,0,0.364761104882
27,1,12,1.16456907883,6.76281130847,0.920800023583,0,0,0,1.7274768501,1,0,0,0.364761104882
28,1,13,16.4703341149,4.00994630093,0.636979681623,0,0,0,0.537172382642,1,0,0,0.383287728713
29,1,14,7.81924952928,4.73751340004,0.659275960659,0,0,0,0.573913033621,1,0,0,0.377590927861
30,2,0,2.32913815766,5.10683707403,0.662045456259,0,0,0,0.537739535619,1,0,1,0.422871305747
31,2,1,2.32913815766,5.10683707403,0.658413893936,0,0,0,0.537739535619,1,0,0,0.422871305747
32,2,2,16.3039671036,5.76600372157,0.593945528375,0,0,0,0.539278926162,1,0,0,0.459672711516
33,2,3,11.8120577995,4.42100888064,0.634756742659,0,0,0,0.551465323211,1,0,0,0.391260024825
34,2,4,20.1304083626,3.67491770488,0.660509319974,0,0,0,0.525526177729,1,0,0,0.439055249809
35,2,5,1.83003712387,4.9257662171,0.719077605747,0,0,0,0.596785669474,1,0,0,0.381246866411
36,2,6,5.1573773491,4.32293498784,0.720945618046,0,0,0,0.527522774864,1,0,0,0.431723395116
37,2,7,18.7994722725,5.34145025339,0.727728689034,0,0,0,0.613891537767,1,0,0,0.421220970488
38,2,8,18.7994722725,5.34145025339,0.738804182764,0,0,0,0.613891537767,1,0,1,0.421220970488
39,2,9,15.305765036,5.39129070084,0.742280971187,0,0,0,0.54442999118,1,0,0,0.446200780525
40,2,10,15.305765036,5.39129070084,0.700907422132,0,0,0,0.54442999118,1,0,0,0.446200780525
