#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
3A|MZ100|42.695531|13.255164|737|Fonte del Campo - ENEA|2016-10-11T00:00:00|2016-10-25T23:59:59
3A|MZ101|42.703742|13.263217|849|Illica - ENEA|2016-10-11T00:00:00|2016-10-25T23:59:59
3A|MZ102|42.70367|13.232048|1055|Accumoli Madonna delle Coste - ENEA|2016-10-12T00:00:00|2016-11-30T23:59:59
3A|MZ103|42.69592|13.241811|875|Accumoli campo sportivo - ENEA|2016-10-12T00:00:00|2016-11-16T23:59:59
3A|MZ104|42.712497|13.253219|838|Tino - ENEA|2016-10-12T00:00:00|2016-10-31T23:59:59
3A|MZ105|42.69275|13.207755|1010|San Giovanni - ENEA|2016-10-13T00:00:00|2016-10-30T23:59:59
3A|MZ11|42.66291|13.307648|1231|bedrock nord Sant`Angelo - INGV|2016-09-20T15:30:00|2016-11-18T00:00:00
3A|MZ12|42.628018|13.29179|958|Amatrice giardino - INGV|2016-09-20T15:10:00|2016-11-18T00:00:00
3A|MZ13|42.638375|13.284602|904|Cornillo Vecchio - INGV|2016-09-20T16:50:00|2016-10-14T09:30:00
3A|MZ14|42.6254|13.357295|1391|Capricchia bedrock - INGV|2016-09-20T17:30:00|2016-11-11T00:00:00
3A|MZ15|42.61754|13.220037|1083|Torrita terrazzo basso - INGV|2016-09-27T00:00:00|2016-10-27T00:00:00
3A|MZ16|42.619916|13.220001|1003|Torrita terrazzo alto - INGV|2016-09-27T00:00:00|2016-10-27T00:00:00
3A|MZ17|42.60002|13.232067|987|Scai Agriturismo Narcisi - INGV|2016-09-27T00:00:00|2016-10-27T00:00:00
3A|MZ18|42.598671|13.229822|1001|Scai alta - INGV|2016-09-27T00:00:00|2016-10-27T00:00:00
3A|MZ19|42.64109|13.206917|1107|Pasciano cimitero - INGV|2016-09-27T00:00:00|2016-11-10T00:00:00
3A|MZ20|42.645097|13.23269|1010|Collemoresco - INGV|2016-09-27T00:00:00|2016-10-27T00:00:00
3A|MZ21|42.651632|13.267547|1046|Poggio Vitellino - INGV|2016-09-28T00:00:00|2016-11-11T00:00:00
3A|MZ22|42.647528|13.291675|1015|Petrana - INGV|2016-09-28T00:00:00|2016-10-27T00:00:00
3A|MZ23|42.647788|13.299653|1025|Faizzone - INGV|2016-09-28T00:00:00|2016-10-27T00:00:00
3A|MZ24|42.655239|13.288519|912|Rocchetta - INGV|2016-10-10T16:00:00|2016-11-22T12:00:00
3A|MZ25|42.62325|13.319249|1009|Retrosi 1 - INGV|2016-10-11T08:42:00|2016-11-21T08:00:00
3A|MZ26|42.623556|13.3164|983|Retrosi 2 - INGV|2016-10-11T10:06:00|2016-11-22T14:00:00
3A|MZ27|42.612412|13.296578|1007|San Lorenzo a Pinaco - INGV|2016-10-11T11:42:00|2016-11-22T15:00:00
3A|MZ28|42.621375|13.307882|992|Amatrice agriturismo - INGV|2016-10-14T12:00:00|2016-11-18T00:00:00
3A|MZ29|42.6304|13.2925|881|Amatrice Caseificio storico - INGV|2016-10-27T13:30:00|2016-11-18T00:00:00
3A|MZ30|42.626432|13.29058|951|Amatrice Alberghiero - INGV|2016-10-27T09:30:00|2016-11-18T00:00:00
3A|MZ31|42.624547|13.289883|878|Amatrice Fosso in Flysch - INGV|2016-10-27T11:20:00|2016-11-18T00:00:00
3A|MZ50|42.598|13.218|1161|Pozzo Varoni - IMAA-CNR|2016-10-15T00:00:00|2016-11-25T23:59:59
3A|MZ51|42.637948|13.285578|902|Cornillo Vecchio - IMAA-CNR|2016-10-14T00:00:00|2016-11-25T23:59:59
3A|MZ52|42.673778|13.293806|972|Cossito - IMAA-CNR|2016-11-02T00:00:00|2016-11-25T23:59:59
3A|MZ60|42.635|13.309|982|Cascello - IDPA-CNR|2016-09-27T14:00:00|2016-10-25T08:00:00
