auditing 410 hits, 76 distinct stations
  ABOVE FLOOR HV.UWB.HHE 583.50 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 521.26 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 678.98 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHE 1048.86 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 628.30 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 1455.37 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHE 743.56 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 631.35 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 1178.75 um  Uwekahuna Bluff Hawaii
  300/410  stations measured 35
  ABOVE FLOOR HV.UWB.HHE 559.96 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 598.44 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 682.82 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHE 376.85 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 550.67 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 628.84 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHE 697.18 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 798.07 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 827.70 um  Uwekahuna Bluff Hawaii
  325/410  stations measured 35
  ABOVE FLOOR HV.UWB.HHE 728.80 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 657.60 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 841.77 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHE 638.91 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 661.72 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 892.15 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHE 794.19 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 695.45 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 992.16 um  Uwekahuna Bluff Hawaii
  350/410  stations measured 39
  ABOVE FLOOR HV.UWB.HHE 742.98 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHN 595.69 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.UWB.HHZ 826.07 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR ES.CJED.HHZ 55.62 um  Jedey (El Paso - La Palma),Spain
  375/410  stations measured 53
  ABOVE FLOOR AM.RE1C2.ENE 17.83 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RE1C2.ENN 14.07 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RE1C2.ENZ 9.09 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RE6A9.ENE 15.85 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RE6A9.ENN 12.58 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RE6A9.ENZ 16.96 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.S89F6.ENE 10.52 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.S89F6.ENN 7.92 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.S89F6.ENZ 11.85 um  Raspberry Shake Citizen Science St
  400/410  stations measured 69
  ABOVE FLOOR AM.S7BC1.ENE 8.22 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.S7BC1.ENN 10.43 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.S7BC1.ENZ 9.53 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RAA61.ENE 12.99 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RAA61.ENN 13.10 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RAA61.ENZ 8.63 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RAA61.ENE 17.64 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RAA61.ENN 13.42 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.RAA61.ENZ 8.57 um  Raspberry Shake Citizen Science St

COVERAGE: 72 of 76 distinct stations measured
FAILURES BY REASON:
      136  not a motion channel
       58  sample rate below 2x band
       10  get_waveforms: FDSNNoDataException
AUDIT2_DONE
