scene,net,sta,cha,sps,lat,lon,name,rms_um,peak_um,above_floor
CAPELLA_C02_SP_CPHD_HH_20220112174811_20220112174835,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,21.9299,56.0964,1
CAPELLA_C02_SP_CPHD_HH_20220112174811_20220112174835,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,20.2979,56.3331,1
CAPELLA_C02_SP_CPHD_HH_20220112174811_20220112174835,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,18.518,49.6917,1
CAPELLA_C02_SP_CPHD_HH_20220210054325_20220210054349,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.1441,3.5516,0
CAPELLA_C02_SP_CPHD_HH_20220210054325_20220210054349,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,22.3712,82.6362,1
CAPELLA_C02_SP_CPHD_HH_20220210054325_20220210054349,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,22.5558,70.3423,1
CAPELLA_C02_SP_CPHD_HH_20220210054325_20220210054349,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,22.7515,62.202,1
CAPELLA_C05_SP_CPHD_HH_20220226093242_20220226093305,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.1166,3.0718,0
CAPELLA_C05_SP_CPHD_HH_20220226093242_20220226093305,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,27.7007,75.2912,1
CAPELLA_C05_SP_CPHD_HH_20220226093242_20220226093305,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,23.0591,66.2241,1
CAPELLA_C05_SP_CPHD_HH_20220226093242_20220226093305,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,23.6801,107.2381,1
CAPELLA_C06_SP_CPHD_HH_20220312195320_20220312195347,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,2.6569,9.1656,0
CAPELLA_C06_SP_CPHD_HH_20220312195320_20220312195347,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,21.987,62.3172,1
CAPELLA_C06_SP_CPHD_HH_20220312195320_20220312195347,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,23.0026,66.213,1
CAPELLA_C06_SP_CPHD_HH_20220312195320_20220312195347,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,20.9027,64.643,1
CAPELLA_C06_SP_CPHD_HH_20220324164025_20220324164043,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.0018,2.842,0
CAPELLA_C06_SP_CPHD_HH_20220324164025_20220324164043,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,24.5083,76.3533,1
CAPELLA_C06_SP_CPHD_HH_20220324164025_20220324164043,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,26.0555,92.2528,1
CAPELLA_C06_SP_CPHD_HH_20220324164025_20220324164043,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,19.8934,68.388,1
CAPELLA_C06_SP_CPHD_HH_20220329150235_20220329150255,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.0191,2.8855,0
CAPELLA_C06_SP_CPHD_HH_20220329150235_20220329150255,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,25.9608,78.4041,1
CAPELLA_C06_SP_CPHD_HH_20220329150235_20220329150255,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,24.1636,79.8848,1
CAPELLA_C06_SP_CPHD_HH_20220329150235_20220329150255,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,23.9867,63.0857,1
CAPELLA_C06_SP_CPHD_HH_20220415032324_20220415032345,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.1387,3.5957,0
CAPELLA_C06_SP_CPHD_HH_20220415032324_20220415032345,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,29.984,82.5722,1
CAPELLA_C06_SP_CPHD_HH_20220415032324_20220415032345,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,23.8192,68.3847,1
CAPELLA_C06_SP_CPHD_HH_20220415032324_20220415032345,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,29.1124,71.697,1
CAPELLA_C06_SP_CPHD_HH_20220421064500_20220421064519,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.3697,5.5004,0
CAPELLA_C06_SP_CPHD_HH_20220421064500_20220421064519,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,28.3265,86.7313,1
CAPELLA_C06_SP_CPHD_HH_20220421064500_20220421064519,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,24.7266,66.6305,1
CAPELLA_C06_SP_CPHD_HH_20220421064500_20220421064519,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,19.7323,64.2995,1
CAPELLA_C06_SP_CPHD_HH_20220407114459_20220407114518,AM,R349C,EHZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,1.0029,2.7247,0
CAPELLA_C06_SP_CPHD_HH_20220407114459_20220407114518,AM,R349C,ENE,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,27.6921,77.4549,1
CAPELLA_C06_SP_CPHD_HH_20220407114459_20220407114518,AM,R349C,ENN,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,24.0234,68.0638,1
CAPELLA_C06_SP_CPHD_HH_20220407114459_20220407114518,AM,R349C,ENZ,100.0,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,26.4996,82.8608,1
