network_code|network_restricted_status|station_code|station_latitude|station_longitude|station_elevation_m|station_name|station_restricted_status|start_time|end_time
WM|public|AVE|33.2981|-7.4133|230|ROA UCM GEOFON Station Averroes Morocco|public|2011-11-24T16:00:00|-
ES|public|EMLI|35.294878|-2.957829|85|Ciudad de Melilla Melilla Spain|public|2002-06-21T00:00:00|-
ES|public|EALB|35.939897|-3.034254|20|Alboran Island Almeria Spain|public|2001-04-10T00:00:00|-
MN|public|WDD|35.8373|14.5242|44|Wied Dalam  Malta|public|1995-07-06T00:00:00|-
GE|public|IMMV|35.4606|23.9811|230|NOA GEOFON Station Iera Moni Varipetrou Greece|public|2010-07-14T00:00:00|-
HI|public|PLC1|35.23119|23.6825|3|Town Hall Conference Hall  Palaiochora Chania Crete|public|2013-02-01T00:00:00|-
HI|public|KIS1|35.493933|23.658993|24|Town Hall Kissamos Chania Crete|public|2013-02-01T00:00:00|-
HL|public|IMMV|35.4606|23.9811|230|NOA GEOFON Iera Moni Varipetrou Greece|public|2010-07-16T00:00:00|-
HL|public|ANKY|35.86704|23.30117|143|Antikythira Island  Greece|public|2010-01-01T00:00:00|-
GE|public|KARP|35.5471|27.16106|524|NOA RUB GEOFON Station Karpathos Greece|public|2009-11-25T00:00:00|-
HC|public|TEFL|35.093273|25.163418|353|Tefeli  Heraklion  Crete|public|2022-07-13T00:00:00|-
HC|public|SOUD|35.4878|24.0678|5|Souda Bay Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|POLY|35.5226|24.0602|160|High School Akrotiri Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|PASK|35.4996|24.0121|18|Pasakaki Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|NERO|35.474|24.0423|77|Nerokourou Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|MULT|35.5091|24.0118|18|Pachiana Chania Crete Is.|public|2021-06-10T00:00:00|-
HC|public|LENT|35.5074|24.0402|76|Lentarian Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|G0LD|35.4955|24.0306|15|Chrisopigi Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|DEYA|35.4825|24.014|41|Deyax Mournies Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|ATEI|35.5193|24.0432|59|HMU Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|ABEA|35.5163|24.0113|9|1o LYKEIO XANION Nea Chora Chania Crete Is . Greece|public|2021-06-10T00:00:00|-
HI|public|SIT2|35.2059|26.107|0|TownHall Siteia Lasithi Crete|public|2013-02-02T00:00:00|-
HI|public|SIT1|35.20822|26.10549|9999|SIT1|public|-|-
HI|public|SFK2|35.211556|24.188889|176|Health Center Vouvas Chania Crete|public|2019-07-19T00:00:00|-
HI|public|RTH1|35.365393|24.471773|15|General Hospital Rethymno Rethymno Crete|public|2013-02-01T00:00:00|-
HI|public|RKT1|35.954336|27.767327|49|Town Hall Kattavia Rhodes South Aegean|public|2013-02-01T00:00:00|-
HI|public|KTL1|35.20778|25.34272|390|Health Center Kasteli Heraklion Crete|public|2021-09-30T00:00:00|-
HI|public|KSS1|35.4189|26.9207|0|KEP Kasos Kasos Island|public|2013-02-02T00:00:00|-
HI|public|HER3|35.3296|25.1065|7|Prefecture Technical Services  Heraklion Crete|public|2013-02-01T00:00:00|-
HI|public|HER2|35.337866|25.135624|29|Prefecture Heraklion Crete|public|2013-02-01T00:00:00|-
HI|public|HER1|35.317672|25.10217|54|Technological Institute Heraklion Crete|public|2013-09-20T00:00:00|-
HI|public|GOR1|35.0582|24.9628|159|Town Hall Gortyna Heraklion Crete|public|2013-02-01T00:00:00|-
HI|public|CHN1|35.516961|24.020798|9999|CHN1|public|-|-
HI|public|CH03|35.53303|24.0705|127|Technical University of Crete Chania Crete|public|2019-06-23T00:00:00|-
HI|public|CH02|35.5145|24.0315|8|Prefecture Social Care  Chania Crete|public|2013-02-01T00:00:00|-
HI|public|CH01|35.517|24.0208|0|Prefecture Technical Services  Chania Crete|public|2013-02-02T00:00:00|-
HI|public|ARK1|35.148777|25.264194|390|Social Care Arkalochori Heraklion Crete|public|2013-02-01T00:00:00|-
HI|public|AGN1|35.1879|25.7155|8|Town Hall Agios Nikolaos Lasithi Crete|public|2014-11-19T00:00:00|-
HL|public|ZKR|35.1147|26.21691|254|NOA GEOFON Zakros Greece|public|2010-07-18T00:00:00|-
HL|public|SIVA|35.01777|24.81204|96|Sivas Crete Greece|public|2010-11-24T00:00:00|-
HL|public|RTHA|35.36653|24.47614|11|RETHYMNO-OTE|public|1985-01-01T00:00:00|-
HL|public|KSTE|35.1801|25.3372|395|Kastelli  Crete  Greece|public|2021-11-05T00:00:00|-
HL|public|KARP|35.5471|27.16106|524|NOA RUB GEOFON Karpathos Greece|public|2003-01-22T00:00:00|-
HL|public|IACM|35.3058|25.0709|45|Irakleio  Crete  Greece|public|2010-01-01T00:00:00|-
HL|public|HERG|35.32622|25.06586|31|Gazi Herakleio Greece|public|2012-03-29T00:00:00|-
HL|public|GVD|34.83914|24.08738|170|NOA GEOFON Gavdos Greece|public|2010-09-21T00:00:00|-
HL|public|CHNB|35.48765|24.06605|5|Souda Chania Greece|public|2012-03-26T00:00:00|-
HL|public|CHNA|35.51337|24.02166|17|CHANIA|public|1985-10-17T00:00:00|-
HL|public|AGNA|35.1895|25.71853|15|Agios Nikolaos Greece|public|2012-03-30T00:00:00|-
A|public|ARNB|35.844|35.972|765|Alamab|public|1900-01-01T00:00:00|-
CQ|public|PAR1|35.03176|33.97621|52|Paralimni Acc |public|2017-11-13T12:53:39|-
CQ|public|PAF1|34.7605|32.4175|21|Pafos Acc |public|2021-09-09T10:49:01|-
CQ|public|OSC2|33.0749|32.2669|-1560|CSnet OBS 4|public|2014-01-16T00:00:00|-
CQ|public|OSC1|33.5|31.2768|-2361|CSnet OBS 1|public|2014-01-16T00:00:00|-
CQ|public|LEM1|34.675278|33.044167|-4|Lemesos Acc |public|2021-06-07T06:17:52|-
CQ|public|LEF1|35.1771|33.368677|0|Lefkosia Acc |public|2021-02-01T12:41:00|-
CQ|public|LAR1|34.92436|33.61563|0|Larnaka Acc |public|2017-10-12T00:00:00|-
GE|public|UJAP|31.95201|35.46435|-200|DESERVE Station Al Uja  Palestine Territories|public|2013-04-22T00:00:00|-
GE|public|SALP|32.0686|35.1914|475|DESERVE Station Salfit  Palestine Territories|public|2015-10-11T00:00:00|-
GE|public|MSBI|31.3126|35.358|-220|DESERVE Station Mazada Israel|public|2013-06-16T00:00:00|-
GE|public|GHAJ|31.30341|35.56648|-58|DESERVE Station GEOFON  JSO DESERVE Station Ghor Haditha Jordan|public|2011-06-01T00:00:00|-
GE|public|CSS|34.9611|33.331|396|GEOFON GII Station Mathiatis Cyprus|public|1998-12-09T00:00:00|-
GE|public|BALJ|32.0873|35.64|375|Station GEOFON JSO DESERVE Station Balqa Jordan|public|2018-01-12T00:00:00|-
IS|public|RAM|30.594|34.753|870|Mizpe Ramon|public|1900-01-01T00:00:00|-
IS|public|IZR|32.563|35.331|90|Izrael|public|1900-01-01T00:00:00|-
IS|public|HAT|32.813|35.033|0|Haifa|public|1900-01-01T00:00:00|-
KO|public|AKIN|35.0157|33.4662|225|Akincilar Lefkosa Turkish Republic of Northern Cyprus|public|2008-11-18T00:00:00|-
KO|public|AKDN|35.2977|32.9677|85|Akdeniz Girne Turkish Republic of Northern Cyprus|public|2008-11-19T00:00:00|-
TK|public|99013|35.19748|33.33142|133|None|public|1900-01-01T00:00:00|-
TK|public|99012|35.18271|33.36771|144|None|public|1900-01-01T00:00:00|-
TK|public|99011|35.22072|33.41489|129|None|public|1900-01-01T00:00:00|-
TK|public|99009|35.12698|33.92635|10|None|public|1900-01-01T00:00:00|-
TK|public|99008|35.16455|33.90496|4|None|public|1900-01-01T00:00:00|-
TK|public|99007|35.52514|34.17501|122|None|public|1900-01-01T00:00:00|-
TK|public|99006|35.35109|33.58497|15|None|public|1900-01-01T00:00:00|-
TK|public|99005|35.3404|33.32231|23|None|public|1900-01-01T00:00:00|-
TK|public|99004|35.38767|32.95009|28|None|public|1900-01-01T00:00:00|-
TK|public|99003|35.25042|33.02121|132|None|public|1900-01-01T00:00:00|-
TK|public|99002|35.19023|32.99283|0|None|public|1900-01-01T00:00:00|-
TK|public|99001|35.12931|32.83189|54|None|public|1900-01-01T00:00:00|-
A|public|WRDH|35.508|36.411|695|Warideh|public|1900-01-01T00:00:00|-
A|public|TLKH|34.671|36.256|280|Talkalakh|public|1900-01-01T00:00:00|-
A|public|SUAN|34.278|38.109|590|Souana|public|1900-01-01T00:00:00|-
A|public|KRKR|35.736|36.319|350|Karkour|public|1900-01-01T00:00:00|-
A|public|HAMA|35.178|36.771|305|Hama|public|1900-01-01T00:00:00|-
A|public|CRSG|33.528|36.305|707|Damascus|public|1900-01-01T00:00:00|-
A|public|BDRN|33.341|36.309|965|Badran|public|1900-01-01T00:00:00|-
TK|public|3147|35.902362|36.064358|419|Yayladag Hatay|public|2019-02-27T00:00:00|-
EU|public|VEL|38.683|-28.208|35|Velas (Sao Jorge)|public|1900-01-01T00:00:00|-
EU|public|TOP|38.55|-27.753|40|Topo (Sao Jorge)|public|1900-01-01T00:00:00|-
EU|public|SRO|38.522|-28.32|45|Sao Roque (Pico)|public|1900-01-01T00:00:00|-
EU|public|SMJ|38.4342|-28.4589|50|S. Mateus Junta Freguesia|public|1900-01-01T00:00:00|-
EU|public|SER|38.758|-27.362|240|Serreta (Terceira)|public|1900-01-01T00:00:00|-
EU|public|SEM|38.6673|-27.0897|9999|S. Sebastiao - Misericordia|public|1900-01-01T00:00:00|-
EU|public|SEJ|38.6673|-27.0897|9999|S. Sebastiao-Junta Freguesia|public|1900-01-01T00:00:00|-
EU|public|SEB|38.668|-27.088|100|Sao Sebastiao (Terceira)|public|1900-01-01T00:00:00|-
EU|public|SCR|38.084|-28.006|12|Santa Cruz (Graciosa)|public|1900-01-01T00:00:00|-
EU|public|PVI|38.726|-27.057|15|Praia Vitoria (Terceira)|public|1900-01-01T00:00:00|-
EU|public|MOS|37.892|-25.822|25|Mosteiros- Escola (Sao Miguel)|public|1900-01-01T00:00:00|-
EU|public|LRE|37.741|-25.658|45|Ponta Delgada- LREC (Sao Miguel)|public|1900-01-01T00:00:00|-
EU|public|LR1|37.7484|-25.664|45|Lab. Regional Eng. Civil|public|1900-01-01T00:00:00|-
EU|public|LAJ|38.402|-28.254|25|Lajes (Pico)|public|1900-01-01T00:00:00|-
EU|public|HSC|38.5352|-28.6289|9999|Horta-Apart. Self Catering|public|1900-01-01T00:00:00|-
EU|public|HOR|38.53|-28.63|60|Horta|public|1900-01-01T00:00:00|-
EU|public|GZC|39.084|-28.006|31|Angra do Heroismo- GZCAH (Terceira)|public|1900-01-01T00:00:00|-
EU|public|GZ2|38.6557|-27.2167|31|Gab. Zona Classificada - 2 pis|public|1900-01-01T00:00:00|-
EU|public|GAR|38.655|-27.21|32|Garoupinha (Terceira)|public|1900-01-01T00:00:00|-
EU|public|FHO|38.5303|-28.6281|9999|Faial-Hotel|public|1900-01-01T00:00:00|-
EU|public|A3389|38.668|-27.087|9999|Sao Sebastiao Misericordia|public|1900-01-01T00:00:00|-
EU|public|A3388|38.668|-27.087|9999|Sao Sebastiao Junta de Freg. (Terceira)|public|1900-01-01T00:00:00|-
IP|public|GZ1|38.6557|-27.2167|31|Gab. Zona Classificada - 1 pis|public|1900-01-01T00:00:00|-
ES|public|EXSFS|36.4655|-6.2055|38|San Fernando Cadiz Spain|public|2015-11-27T00:00:00|-
ES|public|EXHUE|37.2732|-6.932|38|Huelva Huelva Spain|public|2019-11-06T00:00:00|-
ES|public|EXCA|36.5234|-6.2845|12|Cadiz Cadiz Spain|public|2020-11-26T00:00:00|-
ES|public|EXAYA|37.2229|-7.4052|37|Ayamonte Huelva Spain|public|2017-11-23T00:00:00|-
ES|public|EGRO|37.5342|-7.4831|130|El Granado Huelva Spain|public|2001-12-13T00:00:00|-
EU|public|VFX|38.9526|-8.9891|10|VFX-SMPC SMAS|public|1900-01-01T00:00:00|-
EU|public|VER|38.576|-9.154|9999|Lisboa-Verdizela|public|1900-01-01T00:00:00|-
EU|public|SVF|38.709|-9.122|9999|Lisboa-Sao Vicente Fora|public|1900-01-01T00:00:00|-
EU|public|STE|37.541|-8.723|9999|Sao Teotonio|public|1900-01-01T00:00:00|-
EU|public|PO2|38.7795|-9.1116|9999|Portela 6P|public|1900-01-01T00:00:00|-
EU|public|PAL|37.101|-8.502|32|Ponta Altar|public|1900-01-01T00:00:00|-
EU|public|P25|38.7001|-9.1795|77|Ponte 25 Abril|public|1900-01-01T00:00:00|-
EU|public|LIS|38.73|-9.15|77|Lisbon-Tejo|public|1900-01-01T00:00:00|-
EU|public|FAR|37.02|-7.918|39|IM Faro|public|1900-01-01T00:00:00|-
EU|public|FAP|37.028|-7.9227|9999|Faro-Penha|public|1900-01-01T00:00:00|-
EU|public|EVM|38.7642|-7.7172|380|Evora Monte|public|1900-01-01T00:00:00|-
EU|public|DE3|38.7372|-9.1399|9999|IST DECivil 2213|public|1900-01-01T00:00:00|-
EU|public|BOM|38.7787|-9.1102|9999|Bomb. Moscavide|public|1900-01-01T00:00:00|-
EU|public|BEN|38.95|-8.669|9999|Benavente|public|1900-01-01T00:00:00|-
EU|public|AVR|38.7474|-9.1406|9999|Av. Roma 46|public|1900-01-01T00:00:00|-
EU|public|ALC|39.32|-8.29|9999|Alcobaca|public|1900-01-01T00:00:00|-
EU|public|AGU|38.7299|-9.1706|9999|Aq. Aguas Livres|public|1900-01-01T00:00:00|-
GE|public|MTE|40.3997|-7.5442|815|GEOFON Station Manteigas Portugal|public|1997-10-07T00:00:00|-
IP|public|SVI|37.022|-8.995|9999|Sao Vicente|public|1900-01-01T00:00:00|-
IP|public|PLA|38.756|-9.138|9999|Lisboa-LNEC C3ES Fosso|public|1900-01-01T00:00:00|-
IP|public|IME|38.773|-9.121|9999|Lisboa-IM|public|1900-01-01T00:00:00|-
ES|public|YEBES|40.52382|-3.09015|917|Yebes Guadalajara Spain|public|2019-09-18T00:00:00|-
ES|public|SALM|36.853|-2.46|65|Almeria|public|1900-01-01T00:00:00|-
ES|public|SAGR|37.032|-3.828|1065|Agron|public|1900-01-01T00:00:00|-
ES|public|EXVE2|37.2522|-1.8705|102|Vera Almeria Spain|public|2012-10-17T00:00:00|-
ES|public|EXTPC|37.7433|-0.9575|44|Torre Pacheco Murcia Spain|public|2015-03-04T00:00:00|-
ES|public|EXTOT|37.7698|-1.4979|249|Totana Murcia Spain|public|2012-06-20T00:00:00|-
ES|public|EXTA2|36.0226|-5.5992|65|Tarifa Cadiz Spain|public|2021-07-12T00:00:00|-
ES|public|EXSJO|36.7604|-2.1098|25|San Jose  Nijar Almeria Spain|public|2024-02-05T00:00:00|-
ES|public|EXSAL|36.74413|-3.58703|50|Salobrenia Granada Spain|public|2023-10-16T00:00:00|-
ES|public|EXPTO|37.549|-1.8173|460|Puerto Lumbreras Murcia Spain|public|2012-06-21T00:00:00|-
ES|public|EXPDH|37.868|-0.7802|41|Pilar de la Horadada Alicante Spain|public|2013-02-14T00:00:00|-
ES|public|EXOR|37.3537|-2.2974|490|Olula del Rio Almeria Spain|public|2025-05-28T00:00:00|-
ES|public|EXOLV|36.9333|-5.2512|570|Olvera Cadiz Spain|public|2022-01-04T00:00:00|-
ES|public|EXNER|36.7557|-3.8756|63|Nerja Malaga Spain|public|2017-10-25T00:00:00|-
ES|public|EXMU|38.0396|-1.4941|315|Mula Murcia Spain|public|2024-08-21T00:00:00|-
ES|public|EXMRB|36.5151|-4.879|51|Marbella Malaga Spain|public|2025-04-25T00:00:00|-
ES|public|EXMOR|37.1226|-5.4503|245|Lorca Murcia Spain|public|2007-10-05T00:00:00|-
ES|public|EXMAZ|37.5953|-1.3053|52|Mazarron Murcia Spain|public|2012-10-16T00:00:00|-
ES|public|EXMAD|40.409078|-3.688115|653|Madrid Madrid Spain|public|2020-02-23T18:17:56|-
ES|public|EXMA2|36.7009|-4.4484|11|Malaga Malaga Spain|public|2021-12-09T00:00:00|-
ES|public|EXLO2|37.6553|-1.6883|312|Lorca Murcia Spain|public|2011-07-28T00:00:00|-
ES|public|EXJIF|36.434508|-5.455502|204|Jimena de la Frontera Cadiz Spain|public|2020-07-01T10:17:20|-
ES|public|EXHUO|37.3988|-1.9469|290|Huercal Overa Almeria Spain|public|2013-10-02T00:00:00|-
ES|public|EXGUA|38.095|-0.6584|20|Guardamar del Segura Alicante Spain|public|2020-11-12T00:00:00|-
ES|public|EXGRA|37.1929|-3.6052|702|Granada Granada Spain|public|2016-10-19T00:00:00|-
ES|public|EXGER|37.11075|-2.542101|732|Gergal Almeria Spain|public|2022-12-15T00:00:00|-
ES|public|EXFO2|38.1808|-1.134|215|Fortuna Murcia Spain|public|2021-08-24T00:00:00|-
ES|public|EXEL|38.2667|-0.6986|150|Elche Elx Alicante Spain|public|2020-11-12T00:00:00|-
ES|public|EXEJI|36.7743|-2.8112|109|El Ejido Almeria Spain|public|2016-05-02T00:00:00|-
ES|public|EXCBR|38.0742|-5.4131|426|El Cabril  Hornachuelos Cordoba Spain|public|2019-01-03T00:00:00|-
ES|public|EXCB2|36.997|-1.892|490|Carboneras Almeria Spain|public|2025-05-27T00:00:00|-
ES|public|EXCAB|37.1772|-3.5925|770|Granada Granada Spain|public|2008-02-21T00:00:00|-
ES|public|EXCA2|37.0603|-3.9162|708|Cacin Granada Spain|public|2021-06-04T00:00:00|-
ES|public|EXBUL|38.0464|-1.6611|640|Bullas Murcia Spain|public|2015-07-15T00:00:00|-
ES|public|EXBAR|36.1928|-5.9167|8|Barbate Cadiz Spain|public|2017-11-22T00:00:00|-
ES|public|EXARM|37.14221|-3.63191|677|Armilla Granada Spain|public|2023-10-16T00:00:00|-
ES|public|EXANT|37.0246|-4.5705|459|Antequera Malaga Spain|public|2022-10-27T00:00:00|-
ES|public|EXALB|37.2304|-3.6561|649|Albolote Granada Spain|public|2007-11-21T00:00:00|-
ES|public|EXAHM|37.8415|-1.4344|200|Alhama de Murcia Murcia Spain|public|2009-02-11T00:00:00|-
ES|public|EXAGR|37.0303|-3.8348|1057|Agron Granada Spain|public|2009-11-03T00:00:00|-
ES|public|EXAGI|37.4138|-1.5917|23|Aguilas Murcia Spain|public|2013-10-03T00:00:00|-
ES|public|EXAGE|36.1324|-5.4489|36|Algeciras Cadiz Spain|public|2016-06-29T00:00:00|-
ES|public|EXAD|36.7499|-3.0133|12|Adra Almeria Spain|public|2023-12-27T00:00:00|-
ES|public|EXAA2|36.9609|-2.5697|491|Alhama de Almeria Almeria Spain|public|2024-02-05T00:00:00|-
ES|public|ENIJ|36.9715|-2.207|440|Nijar Almeria Spain|public|1986-01-01T00:00:00|-
ES|public|EMUR|37.8422|-1.2405|574|Murcia Murcia Spain|public|2000-01-15T00:00:00|-
ES|public|EMIJ|36.5645|-4.7727|470|Mijas Malaga Spain|public|2004-07-02T10:26:00|-
ES|public|E0702|39.0416|-2.48883|907|Munera Albacete Spain|public|2015-03-03T12:28:00|-
EU|public|SVEN|37.068|-3.82|856|Ayuantamiento de Ventas de Huelma|public|1900-01-01T00:00:00|-
EU|public|SMON|37.587|-4.639|102|Montilla|public|1900-01-01T00:00:00|-
EU|public|SJAY|36.951|-3.822|913|Ayuntamiento de Jayena|public|1900-01-01T00:00:00|-
EU|public|SCAC|37.062|-3.915|706|Cacin|public|1900-01-01T00:00:00|-
EU|public|SADR|36.751|-3.013|12|Adra-Refugio de la Plaza|public|1900-01-01T00:00:00|-
IU|public|PAB|39.5446|-4.3499|950|San Pablo Spain|public|2009-08-14T00:00:00|-
WM|public|CART|37.5868|-1.0012|65|ROA UCM GEOFON Station Cartagena  Spain|public|2009-12-31T00:00:00|-
CA|public|REUS|41.134825|1.185893|48|Reus|public|2011-05-01T00:00:00|-
CA|public|MTJR|41.37007|2.15608|51|Montjuic|public|2011-05-25T00:00:00|-
CA|public|ILER|41.6153|0.6262|171|Lleida|public|2010-03-23T00:00:00|-
CA|public|FBR|41.4183|2.1239|405|FABRA  SPAIN|public|2002-01-01T00:00:00|-
CA|public|CTAV|41.996678|2.418428|857|Tavertet|public|2022-04-05T00:00:00|-
CA|public|CMON|41.593324|1.836294|730|Montserrat|public|2015-10-20T00:00:00|-
CA|public|CGRY|41.62369|1.246901|596|Granyena|public|2022-11-16T00:00:00|-
CA|public|CGRN|41.607|2.2884|153|Granollers|public|2009-01-01T00:00:00|-
CA|public|CGIS|41.98088|2.82158|70|Girona Generalitat|public|2011-01-01T00:00:00|-
CA|public|CGIR|41.986|2.8278|102|Girona Universitat|public|2010-02-23T00:00:00|-
CA|public|CFLI|41.23606|0.554806|85|Flix|public|2023-11-21T00:00:00|-
CA|public|CELO|41.6896|2.492|150|Sant Celoni|public|2009-01-01T00:00:00|-
CA|public|BLAN|41.683943|2.794193|20|Blanes|public|2017-05-11T12:00:00|-
CA|public|BAJU|41.3853|2.1741|25|Barcelona   Ciutat Vella|public|2009-04-01T00:00:00|-
CA|public|BAIN|41.396|2.173|22|Barcelona Tetuan|public|2010-04-23T00:00:00|-
CA|public|AVIN|41.84381|1.96546|334|Avinyo|public|2010-10-19T00:00:00|-
EU|public|BRS|36.273|1.499|9999|Beni Rashid|public|1900-01-01T00:00:00|-
FC|public|ALG|36.83|3|332|Alger-Bouzareah|public|1900-01-01T00:00:00|-
WM|public|MAHO|39.895901|4.2665|15|ROA UCM GEOFON Station Mahon Menorca|public|2009-12-31T00:00:00|-
1V|public|VRN2|40.373746|16.810455|4|None|public|2003-01-01T00:00:00|-
1V|public|VRN1|40.40803|16.58538|179|None|public|2003-01-01T00:00:00|-
1V|public|SCZ2|40.261785|16.74852|0|None|public|2003-01-01T00:00:00|-
1V|public|SCZ1|40.250228|16.690864|29|None|public|2003-01-01T00:00:00|-
1V|public|SARC|40.25275|16.27176|303|Sant Arcangelo cimitero|public|2009-02-16T00:00:00|-
1V|public|SAF|40.54568|15.55715|602|Sant Angelo le Fratte Rupe|public|1900-01-01T00:00:00|-
1V|public|PES7|40.83604|15.3968|924|None|public|2003-01-01T00:00:00|-
1V|public|OPPL|40.763683|15.988927|714|None|public|2003-01-01T00:00:00|-
1V|public|MAR|40.425331|15.7293|744|None|public|2003-01-01T00:00:00|-
1V|public|LAT2|40.089|16.011553|823|None|public|2003-01-01T00:00:00|-
1V|public|IMAA|40.60123|15.702107|763|None|public|2003-01-01T00:00:00|-
1V|public|GUPE|40.36227|16.09861|709|None|public|2003-01-01T00:00:00|-
1V|public|GRA7|40.633065|16.283578|522|None|public|2003-01-01T00:00:00|-
1V|public|FER7|40.4921|16.45777|449|None|public|2003-01-01T00:00:00|-
1V|public|CGVT|40.64482|15.85586|666|None|public|2003-01-01T00:00:00|-
1V|public|CGB1|40.646156|15.851459|466|None|public|2003-01-01T00:00:00|-
1V|public|AVIG|40.73074|15.71939|904|None|public|2003-01-01T00:00:00|-
1V|public|ANZ7|40.51601|15.92506|999|None|public|2003-01-01T00:00:00|-
1V|public|AGR7|40.35646|15.82829|602|None|public|2003-01-01T00:00:00|-
1V|public|ACC7|40.49131|16.15689|755|None|public|2003-01-01T00:00:00|-
3D|public|OEM9|38.3879|14.9908|492|Vulcano Loc. Piano|public|2021-11-03T15:30:00|-
3D|public|OEM7|38.4825|14.9707|259|rete mobile   Lipari M.te Rosa|public|2021-10-21T10:55:30|-
3Q|public|T1886|39.287|16.97583|524|San Nicola dell Alto KR |public|2024-08-28T13:00:00|-
3Q|public|T1813|39.31469|16.75119|1211|Savelli|public|2023-03-01T13:30:00|-
3Q|public|T1812|39.48464|16.50149|1131|Acri|public|2024-08-02T17:36:00|-
3Q|public|T1811|39.56904|16.77169|226|Crosia|public|2024-08-02T15:00:00|-
5H|public|T0205|41.7954|13.6045|690|T0205|public|2009-10-08T08:00:00|2010-01-14T23:59:00
5H|public|T0204|41.8666|13.7809|1371|T0204|public|2009-10-08T08:00:00|2010-01-22T23:59:00
5H|public|T0203|41.6187|13.7213|559|T0203|public|2009-10-08T08:00:00|2010-01-14T23:59:00
5H|public|T0202|41.7012|13.5468|342|T0202|public|2009-10-08T08:00:00|2010-01-14T23:59:00
7C|public|SPAOL|37.54939|15.071367|301|Catania   Viadotto S. Paolo ANAS|public|2022-04-06T00:00:00|-
7C|public|CSMBE|39.2895|16.2642|251|Cosenza   Museo dei Brettii e degli Enotri|public|2022-04-01T00:00:01|-
7C|public|CSGE1|38.2705|16.2205|480|Gerace|public|2022-03-28T19:00:00|-
7C|public|CS2FS|39.2933|16.2584|237|Cosenza   Centro storico|public|2022-04-06T00:00:00|-
7C|public|CS2FF|39.293323|16.258362|235|Cosenza MIN2 Bor 115gN  N   SE |public|2015-01-01T08:30:00|-
9K|public|T1011|41.359643|14.417482|1152|SAN POTITO SANNITICO (CE)|public|2013-12-30T12:00:00|-
9N|public|T0725|39.84526|16.26092|667|Frascineto CS |public|2023-05-15T00:00:00|2014-09-16T12:00:00
9N|public|T0724|39.84875|15.87647|357|Frazione Tremoli Papasidero CS |public|2023-05-15T00:00:00|2013-03-19T12:00:00
9N|public|T0723|39.8938|16.08646|1484|Campotenese Morano Calabro CS |public|2023-05-15T00:00:00|2015-01-01T14:30:00
9N|public|T0722|39.9239|16.0608|831|Contrada Zircoli Rotonda PZ |public|2023-05-15T00:00:00|2015-01-09T18:00:00
9N|public|T0721|39.93691|15.97695|535|Laino Castello CS |public|2023-05-15T00:00:00|2015-01-19T23:51:00
9N|public|T0716|39.9487|16.0224|560|Rotonda PZ Contrada Piano Incoronata|public|2023-05-15T00:00:00|2012-03-11T19:41:00
9N|public|T0715|39.8384|16.0683|1044|T0715|public|2011-11-28T08:16:55|2012-07-13T23:51:00
9N|public|T0712|39.820545|15.85187|248|Santa domenica di Talao|public|2011-11-26T14:29:44|2012-07-13T15:14:00
9N|public|T0701|39.98617|16.116141|882|Viggianello PZ|public|2012-05-30T13:44:00|2016-07-19T08:15:00
BA|public|TTS|40.601345|15.723605|762|TITO SCALO|public|2005-11-01T00:00:00|-
BA|public|SCZP|40.26107|16.749041|3|SCANZANO PORTO GRECO|public|2006-06-01T00:00:00|2006-12-15T00:00:00
BA|public|SCZM|40.249821|16.6898|30|SCANZANO MUNICIPIO|public|2006-06-01T00:00:00|2006-12-15T00:00:00
BA|public|SANL|40.25275|16.271763|305|SANTARCANGELO|public|2009-02-16T00:00:00|2009-09-11T00:00:00
BA|public|PZUN|40.6458|15.807|820|Potenza Universita|public|2015-11-27T11:00:00|-
BA|public|PSP|40.836094|15.396797|924|PESCOPAGANO|public|2005-04-21T00:00:00|2005-07-15T00:00:00
BA|public|POLM|40.208759|16.669693|38|POLICORO MUNICIPIO|public|2006-07-25T00:00:00|2006-10-30T00:00:00
BA|public|POLC|40.1967|16.7033|4|POLICORO CINEMA|public|2006-07-25T00:00:00|2006-10-30T00:00:00
BA|public|MRSN|40.425335|15.729301|745|MARSICO NUOVO|public|2005-12-20T00:00:00|-
BA|public|MLF|40.9944|15.6527|510|MELFI|public|2005-05-15T00:00:00|2007-05-07T00:00:00
BA|public|LTS|40.0891|16.0113|831|LATRONICO SCUOLA|public|2006-01-08T00:00:00|2007-05-30T00:00:00
BA|public|GVT|40.645008|15.855823|720|COSTA DELLA GAVETA|public|2006-07-15T00:00:00|2006-10-30T00:00:00
BA|public|GSS|40.6309|16.2819|498|GRASSANO|public|2004-10-01T00:00:00|2005-07-30T00:00:00
BA|public|FRRN|40.492142|16.457769|530|FERRANDINA|public|2004-11-01T00:00:00|2005-07-30T00:00:00
BA|public|ANZI|40.51601|15.92506|987|ANZI|public|2005-04-01T00:00:00|-
