scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes,rms_um,peak_um,chan,note
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,13312,2.1401,8.2344,HHE,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,12288,4.1954,18.0464,HHE,
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,11264,1.7439,6.5939,HHE,
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,11264,51.4008,135.5202,HHE,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,10240,33.5431,95.7995,HHE,
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,10240,3.6027,15.3426,HHE,
CAPELLA_C09_SP_CPHD_HH_20240719064935_20240719065001,26.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-19T06:49:34Z,2024-07-19T06:50:00Z,39936,1446.7768,6424.8680,HHZ,
CAPELLA_C09_SP_CPHD_HH_20240719064935_20240719065001,26.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-19T06:49:34Z,2024-07-19T06:50:00Z,21504,2.0740,8.4815,HHN,
CAPELLA_C09_SP_CPHD_HH_20240719064935_20240719065001,26.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-19T06:49:34Z,2024-07-19T06:50:00Z,19456,1.6441,7.8499,HHN,
CAPELLA_C09_SP_CPHD_HH_20240719064935_20240719065001,26.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-19T06:49:34Z,2024-07-19T06:50:00Z,19456,,,,no channel survived response removal
