scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes,rms_um,peak_um,chan,note
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,10240,2.9968,13.1470,HHE,
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,9728,0.9104,3.7840,HHN,
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,43520,1265.6766,5771.6818,HHZ,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,43008,1219.2188,5754.8061,HHN,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,43008,1140.3391,5923.2879,HHZ,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,42496,1540.3525,8175.3555,HHZ,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,BYL,19.412087,-155.259877,Byron's Ledge,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,39936,45.6104,205.6827,HHN,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,28160,2.8295,10.6886,HHN,
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,26624,1.4858,6.3994,HHE,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,26112,1.1614,4.9698,HHN,
