scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,22528
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,22016
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,20480
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,20480
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,19968
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,19456
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,19456
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,19456
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,19456
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,19456
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,19456
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,18944
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,18944
