scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C09_SP_CPHD_HH_20240714174801_20240714174831,29.5,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-14T17:48:01Z,2024-07-14T17:48:30Z,27648
CAPELLA_C09_SP_CPHD_HH_20240714174801_20240714174831,29.5,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-14T17:48:01Z,2024-07-14T17:48:30Z,27648
CAPELLA_C09_SP_CPHD_HH_20240714174801_20240714174831,29.5,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-14T17:48:01Z,2024-07-14T17:48:30Z,26624
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,24576
CAPELLA_C09_SP_CPHD_HH_20240714174801_20240714174831,29.5,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-14T17:48:01Z,2024-07-14T17:48:30Z,24576
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,22016
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,20992
CAPELLA_C09_SP_CPHD_HH_20240714174801_20240714174831,29.5,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-14T17:48:01Z,2024-07-14T17:48:30Z,18432
CAPELLA_C09_SP_CPHD_HH_20240714174801_20240714174831,29.5,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-14T17:48:01Z,2024-07-14T17:48:30Z,18432
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,14848
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,14336
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,13824
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010,29.5,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-05T11:29:41Z,2024-06-05T11:30:10Z,11776
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,44032
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,28672
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,26624
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,24576
