scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,38.2,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",?,2024-10-03T02:48:16Z,2024-10-03T02:48:54Z,29184
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,27.9,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",?,2024-10-06T08:30:43Z,2024-10-06T08:31:10Z,18432
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,39.0,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",?,2024-10-08T10:49:07Z,2024-10-08T10:49:45Z,24064
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,35.9,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",?,2024-10-09T00:45:12Z,2024-10-09T00:45:47Z,26624
CAPELLA_C13_SP_CPHD_HH_20241114042855_20241114042929,33.3,AM,RC269,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,?,2024-11-14T04:29:29Z,2024-11-14T04:30:02Z,6144
CAPELLA_C15_SP_CPHD_HH_20241114212350_20241114212427,37.6,AM,RC269,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,?,2024-11-14T21:24:27Z,2024-11-14T21:25:04Z,6656
CAPELLA_C15_SP_CPHD_HH_20241115212743_20241115212823,40.1,AM,RC269,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,?,2024-11-15T21:28:23Z,2024-11-15T21:29:03Z,6656
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,30.5,IU,RAR,-21.2125,-159.7733,"Rarotonga, Cook Islands",?,2024-11-21T04:27:36Z,2024-11-21T04:28:06Z,35328
CAPELLA_C14_SP_CPHD_HH_20241121212541_20241121212609,27.7,HI,ATH5,37.975421,23.737098,"Greek Parliament,Athens,Attica",?,2024-11-21T21:25:41Z,2024-11-21T21:26:08Z,10240
CAPELLA_C14_SP_CPHD_HH_20241121212541_20241121212609,27.7,HL,ATH,37.97384,23.71767,"Athens,Greece",?,2024-11-21T21:25:41Z,2024-11-21T21:26:08Z,11264
CAPELLA_C14_SP_CPHD_HH_20241121212541_20241121212609,27.7,HL,NOAC,37.97384,23.71767,"NOA-Athens,Greece",?,2024-11-21T21:25:41Z,2024-11-21T21:26:08Z,22016
CAPELLA_C11_SP_CPHD_HH_20241125040648_20241125040720,32.0,AU,NIUE,-19.0763,-169.9272,"Niue Island, Niue",?,2024-11-25T04:07:21Z,2024-11-25T04:07:53Z,7168
CAPELLA_C10_SS_CPHD_HH_20240515031350_20240515031406,16.0,CH,SLUB,47.057919,8.30548,"Luzern, Bramberg, LU",?,2024-05-15T03:13:49Z,2024-05-15T03:14:05Z,12288
CAPELLA_C10_SS_CPHD_HH_20240515031350_20240515031406,16.0,CH,SLUK,47.04789,8.30833,"Luzern, Kirche, LU",?,2024-05-15T03:13:49Z,2024-05-15T03:14:05Z,16384
CAPELLA_C10_SS_CPHD_HH_20240515031350_20240515031406,16.0,CH,SLUW,47.04631,8.31786,"Luzern, Werkhofstrasse, LU",?,2024-05-15T03:13:49Z,2024-05-15T03:14:05Z,15360
CAPELLA_C10_SS_CPHD_VV_20240516031104_20240516031119,15.4,BW,RMOA,47.76154,12.86441,"Piding/Moar Alm, Bavaria, BW-Net",?,2024-05-16T03:11:03Z,2024-05-16T03:11:18Z,15872
CAPELLA_C10_SS_CPHD_VV_20240516031104_20240516031119,15.4,BW,RNHA,47.805721,12.818837,"Neuhaus, Bavaria, BW-Net",?,2024-05-16T03:11:03Z,2024-05-16T03:11:18Z,8192
CAPELLA_C10_SS_CPHD_VV_20240516031104_20240516031119,15.4,BW,RTSA,47.76834,12.84195,"Steiner Alm, Bavaria, BW-Net",?,2024-05-16T03:11:03Z,2024-05-16T03:11:18Z,14336
CAPELLA_C10_SS_CPHD_VV_20240516031104_20240516031119,15.4,BW,RTSH,47.75448,12.84988,"Staufenhaus, Bavaria, BW-Net",?,2024-05-16T03:11:03Z,2024-05-16T03:11:18Z,16384
